Id;BEER_Size(L);PROD_OriginalGravity;BEER_FinalGravity;BEER_AlcoholByVolume;BEER_IBU;BEER_Color;PROD_BoilSize;PROD_BoilTime;PROD_BoilGravity;PROD_Efficiency;PROD_MashThickness;PROD_SugarScale;PROD_BrewMethod;PROD_PitchRate;PROD_PrimaryTemp;PROD_ExcessGravity;Style
0;22.71;1.071;1.021;6.51;81.14;6.43;28.39;60;1.057;78;1.2;0;All Grain;0.5;20;60.71;American IPA
1;7.57;1.062;1.016;6.14;138.44;6.42;7.57;60;1.052;40;1.3;0;extract;0.5;20;60.62;American IPA
4;21.77;1.061;1.013;6.25;100.2;3.9;23.66;15;1.045;35;4;0;extract;0.75;20;60.61;American IPA
7;21;1.05;1.009;5.41;111.28;5.78;28.5;60;1.038;65;5;0;All Grain;1;19;60.5;American Pale Ale
9;41.64;1.075;1.017;7.61;70.45;9.29;49.21;60;1.064;70;1.25;0;All Grain;0.75;17.78;60.75;American IPA
10;20.82;1.058;1.01;6.29;64.35;3.86;28.39;60;1.042;80;2;0;All Grain;0.35;18;60.58;American IPA
11;20.82;1.056;1.014;5.49;-1;13.61;24.61;70;?;70;?;0;?;?;?;60.56;American IPA
12;26;?;1.016;7.58;75.77;5.94;34;60;1.056;70;3.6;?;All Grain;?;?;?;American IPA
13;10.79;1.067;1.019;6.27;42.16;13.33;15.33;90;1.047;68;?;0;All Grain;0.5;18.33;60.67;American IPA
15;20.82;?;1.014;7.2;104.21;8.78;28.39;60;1.05;60;1.5;0;All Grain;1.25;19.44;?;American IPA
16;18.93;1.065;1.016;6.43;96.95;8.01;9.46;60;1.131;35;?;0;extract;?;?;60.65;American IPA
17;20.82;1.059;1.017;5.57;54.45;-1;24.61;60;1.05;35;?;0;extract;1;21.11;60.59;American Pale Ale
18;23;1.063;1.016;6.21;69.85;8.48;10;60;1.042;70;?;0;extract;1;19;60.63;American IPA
20;22.71;1.058;1.01;6.32;31.1;7.05;28.39;65;1.046;63;1.33;0;All Grain;0.75;17.78;60.58;American Pale Ale
21;18.93;1.053;1.013;5.23;62.78;13.8;11.36;60;1.089;35;?;0;extract;?;?;60.53;American IPA
24;40;1.069;?;6.76;60.83;8.15;53;60;1.052;75;34;0;?;2;20;60.69;American IPA
27;20.82;?;1.01;5.14;12.86;5.08;28.39;60;1.036;65;?;0;BIAB;?;?;?;American Pale Ale
30;3.79;1.06;?;6.48;90.02;-1;6.81;60;1.033;35;1.5;0;All Grain;0.5;22.22;60.6;American IPA
31;20.82;12.8186;3.13744;?;-1;5.57;28.01;60;9.6;75;1.5;1;All Grain;0.75;20;178.186;American Pale Ale
35;18.93;1.074;1.021;6.99;76.13;8.34;18.93;60;1.074;35;?;0;extract;0.75;21.11;60.74;American IPA
40;24;1.06;?;6.49;?;9.88;28;60;1.051;85;3.5;0;All Grain;0.75;18;60.6;American IPA
43;39.75;?;1.014;5.46;0;7.89;22.71;60;1.097;?;?;?;Partial Mash;?;20;?;American IPA
44;25;1.047;1.011;4.7;35.37;-1;32.5;60;1.036;70;?;0;BIAB;?;?;60.47;American Pale Ale
47;12;1.057;1.01;6.08;28.33;6.75;14;60;1.049;70;3;?;All Grain;0.35;16;60.57;American Pale Ale
49;18.93;?;1.019;7.48;?;7.28;28.39;?;1.05;70;?;0;BIAB;0.35;21.11;?;American IPA
50;20.82;1.06;1.017;5.71;54.88;?;22.71;80;1.055;35;?;0;extract;0.5;20;60.6;American IPA
51;70;1.034;?;3.77;50.01;6.84;74.5;60;1.032;82;3.5;0;All Grain;?;20;60.34;American IPA
52;21;1.065;1.019;5.97;68.93;8.09;25;60;1.054;83;?;0;BIAB;?;17;60.65;American IPA
57;23;1.05;1.013;4.87;52.36;5.81;?;60;1.043;75;3.48;?;All Grain;0.75;20;60.5;American Pale Ale
58;28;1.056;1.011;5.92;44.8;5.97;34;-1;1.046;70;2.5;0;All Grain;0.75;19;60.56;American Pale Ale
59;50;15.7113;2.93919;6.91;122.85;7.69;60;60;13.2;74;3;1;All Grain;?;20;207.113;American IPA
60;41.64;1.094;1.021;9.67;0;7.36;46.18;60;1.085;75;1.5;0;All Grain;1.75;?;60.94;American IPA
61;19.87;1.056;1.011;5.82;61.35;5.1;23.66;60;1.047;75;?;0;BIAB;0.35;18.33;60.56;American Pale Ale
63;20.82;1.052;1.011;5.38;54.86;5.19;15.14;60;1.072;75;?;0;Partial Mash;?;20;60.52;American Pale Ale
64;18.93;1.067;1.013;7.14;115.14;5.33;11.36;60;1.112;35;?;0;extract;0.35;25;60.67;American IPA
66;22.71;1.086;1.022;8.4;252.31;6.87;28.39;60;1.069;70;1.25;0;All Grain;?;?;60.86;American IPA
67;20.82;1.031;1.007;3.13;55.71;10.52;34.07;60;1.019;35;1.5;0;All Grain;0.35;?;60.31;American IPA
68;18.93;1.057;1.015;5.53;76.42;12.07;11.36;60;?;60;?;0;BIAB;?;?;60.57;American IPA
69;18.93;1.064;1.02;5.75;-1;6.57;24.61;60;?;62.5;?;0;All Grain;?;?;60.64;American IPA
70;22.71;1.039;1.007;4.22;23.2;6.67;28.39;75;1.031;35;1.47;0;All Grain;?;?;60.39;American Pale Ale
71;9;1.053;1.009;5.84;56.19;5.75;13;60;1.037;70;?;0;BIAB;0.35;22;60.53;American IPA
72;39.75;1.087;1.023;8.43;44.83;8.56;53;70;1.065;81;?;0;BIAB;2;18.33;60.87;American IPA
73;15.14;1.065;1.016;6.35;64.41;9.53;18.93;60;1.052;75;1.5;0;All Grain;?;?;60.65;American IPA
74;30;1.06;1.012;6.36;65.79;10.55;42;60;1.043;80;2.7;0;All Grain;?;?;60.6;American IPA
75;20.82;16.6602;3.57549;7.12;?;6.03;30.28;75;11.7;?;1.25;1;All Grain;0.35;20;216.602;American IPA
76;21;1.054;1.012;5.41;?;7.01;34.2;60;1.033;80;3;0;?;?;?;60.54;American Pale Ale
79;20.82;1.048;1.009;5.06;36.32;?;28.39;60;1.035;70;1.5;0;All Grain;?;20.56;60.48;American Pale Ale
81;7.57;1.056;1.011;5.84;?;4.19;11.36;60;1.037;60;1.5;0;All Grain;0.35;19.44;60.56;American Pale Ale
82;29.4;1.055;?;5.98;62.1;10.3;36;90;1.04;75;4.52;?;All Grain;0.35;25;60.55;American Pale Ale
83;20.82;1.057;1.013;5.79;72.37;-1;24.61;60;1.048;50;1.5;0;All Grain;?;18.89;60.57;American IPA
85;23;1.055;1.011;5.78;24.12;5.35;29;60;1.044;72;3.34;0;All Grain;?;15;60.55;American Pale Ale
86;20.82;1.053;?;4.97;36.36;5.18;30.28;60;1.036;75;?;0;BIAB;0.75;20;60.53;American Pale Ale
90;19.87;1.046;1.011;4.56;87.79;3.87;11.36;60;1.08;25;?;0;Partial Mash;?;21.11;60.46;American IPA
91;20.82;1.067;?;6.61;58.49;12.5;28.39;60;1.049;?;?;0;BIAB;?;?;60.67;American IPA
92;18.93;1.047;1.011;4.75;42.24;5.22;11.36;60;1.079;35;?;0;extract;0.35;22.22;60.47;American Pale Ale
93;22;1.06;1.016;5.8;59.81;7.72;32;60;1.041;?;3;0;?;?;20;60.6;American IPA
94;9.46;1.053;?;5.71;56.94;7.07;8.52;60;1.058;35;?;0;extract;?;?;60.53;American IPA
97;18.93;1.064;1.016;6.31;103;5.83;24.61;?;?;75;?;0;BIAB;0.5;21.11;60.64;American Pale Ale
98;18.93;1.053;1.013;5.23;60.78;40;11.36;60;1.089;60;?;?;BIAB;?;21.11;60.53;American IPA
105;20.82;1.047;1.011;4.75;57.82;3.89;11.36;60;1.086;70;?;0;Partial Mash;?;?;60.47;American IPA
106;9.46;?;1.011;?;55.45;9.37;11.36;60;?;69;1.25;0;All Grain;?;17.78;?;American IPA
108;39.75;1.075;1.021;7.13;124.98;4.61;43.53;60;?;70;?;0;All Grain;?;?;60.75;American IPA
109;21;1.069;1.018;6.79;-1;?;26.5;60;1.055;72;3;0;All Grain;0.75;20;60.69;American IPA
110;21;1.078;1.02;7.65;61.99;6.95;28.5;90;1.058;70;?;0;BIAB;0.75;18.3;60.78;American IPA
111;11.36;1.042;1.011;3.96;39.39;?;15.14;?;1.031;65;2.285;0;All Grain;0.35;18.89;60.42;American Pale Ale
112;39.75;1.059;1.016;5.56;172.33;3.87;45.42;60;1.051;70;?;0;All Grain;?;18.89;60.59;American IPA
113;18;1.057;1.014;5.62;?;7.19;28.5;60;1.036;55;3;0;All Grain;0.75;20;60.57;American IPA
114;11.5;1.06;1.011;6.4;56.95;7.08;18;60;1.038;70;3;0;All Grain;1;23;60.6;American IPA
115;18.93;1.069;?;6.75;58.33;8.37;26.5;60;1.049;65;1.25;0;All Grain;?;19.44;60.69;American IPA
118;42;1.05;1.008;5.53;44.29;7.29;55;90;1.039;85;?;0;?;1;18;60.5;American Pale Ale
119;18.93;1.06;1.016;5.7;40.14;8.63;26.5;60;1.043;70;1.5;0;All Grain;?;?;60.6;American Pale Ale
121;18.93;1.068;1.013;7.3;65.02;6.74;28.39;60;1.046;75;?;0;BIAB;1;18.06;60.68;American IPA
123;12;1.072;1.018;7.11;63.51;10.1;28.5;180;1.03;35;3;0;All Grain;0.35;25;60.72;American IPA
125;10;1.046;1.009;4.9;36.32;5.79;10;60;1.046;70;5;0;All Grain;0.5;20;60.46;American Pale Ale
126;23;1.063;1.014;6.37;61.92;6.74;27;70;?;75;4.5;0;All Grain;1;19;60.63;American IPA
128;39.75;1.061;1.016;5.98;42.98;-1;49.21;60;1.05;75;1.5;0;All Grain;?;?;60.61;American Pale Ale
129;18.93;1.078;1.019;7.66;?;7.24;13.25;-1;1.111;75;1.5;0;All Grain;0.35;23.89;60.78;American IPA
130;13;1.042;1.012;3.97;35.32;7.33;14;60;?;62;3;0;All Grain;?;?;60.42;American Pale Ale
